datetime,Features,Label
2017-05-16 00:00:00,"['E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E22', 'E20', 'E7', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E34', 'E35', 'E12', 'E27', 'E25', 'E25', 'E28', 'E41', 'E32', 'E30', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E24', 'E25', 'E11', 'E8', 'E25', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E42', 'E36', 'E37', 'E33', 'E26', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E22', 'E20', 'E7', 'E25', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E39', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E25', 'E38', 'E8']",Success
2017-05-16 00:01:00,"['E4', 'E5', 'E14', 'E25', 'E13', 'E42', 'E36', 'E37', 'E25', 'E33', 'E26', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E28', 'E25', 'E41', 'E32', 'E3', 'E30', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E22', 'E20', 'E7', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E34', 'E35', 'E27', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E33', 'E26', 'E42', 'E36', 'E29', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25']",Success
2017-05-16 00:02:00,"['E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E22', 'E20', 'E25', 'E7', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E28', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E41', 'E32', 'E30', 'E25', 'E34', 'E35', 'E27', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E42', 'E36', 'E29', 'E33', 'E26', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E22', 'E25', 'E20', 'E7', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E31', 'E26', 'E21', 'E9', 'E15', 'E25', 'E27', 'E7', 'E21', 'E12', 'E25', 'E25', 'E39']",Success
2017-05-16 00:03:00,"['E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E34', 'E35', 'E27', 'E25', 'E33', 'E26', 'E42', 'E36', 'E37', 'E28', 'E41', 'E32', 'E30', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E22', 'E20', 'E25', 'E7', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E34', 'E35', 'E27', 'E13', 'E25', 'E25', 'E33', 'E26', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E23', 'E25']",Success
2017-05-16 00:04:00,"['E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E22', 'E20', 'E25', 'E7', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E28', 'E25', 'E41', 'E32', 'E30', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E24', 'E25', 'E11', 'E8', 'E25', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E33', 'E26', 'E42', 'E36', 'E29', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E22', 'E20', 'E7', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E40', 'E25', 'E25', 'E31', 'E26']",Success
2017-05-16 00:05:00,"['E21', 'E9', 'E15', 'E7', 'E21', 'E34', 'E35', 'E12', 'E27', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E42', 'E36', 'E37', 'E25', 'E33', 'E26', 'E25', 'E25', 'E25', 'E28', 'E41', 'E32', 'E30', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E22', 'E20', 'E7', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E42', 'E36', 'E29', 'E25', 'E33', 'E26', 'E42', 'E36', 'E37']",Success
2017-05-16 00:06:00,"['E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E22', 'E20', 'E7', 'E25', 'E25', 'E28', 'E41', 'E32', 'E30', 'E25', 'E25', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E34', 'E35', 'E8', 'E25', 'E27', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E33', 'E26', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E22', 'E20', 'E7', 'E25', 'E25', 'E25', 'E25']",Success
2017-05-16 00:07:00,"['E40', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E34', 'E35', 'E25', 'E25', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E25', 'E11', 'E25', 'E8', 'E25', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E33', 'E26', 'E42', 'E36', 'E37', 'E28', 'E41', 'E32', 'E30', 'E26', 'E25', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E3', 'E25', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E22', 'E20', 'E7', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E34', 'E35', 'E25', 'E21', 'E12', 'E27', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E8', 'E25', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E42', 'E36', 'E37', 'E25', 'E33', 'E26']",Success
2017-05-16 00:08:00,"['E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E28', 'E41', 'E32', 'E30', 'E25', 'E25', 'E34', 'E35', 'E22', 'E20', 'E27', 'E7', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E34', 'E35', 'E27', 'E25', 'E13', 'E25', 'E33', 'E26', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25']",Success
2017-05-16 00:09:00,"['E25', 'E34', 'E35', 'E27', 'E22', 'E20', 'E7', 'E25', 'E25', 'E25', 'E25', 'E40', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E25', 'E9', 'E15', 'E7', 'E21', 'E12', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13', 'E25', 'E33', 'E26', 'E28', 'E41', 'E32', 'E30', 'E42', 'E36', 'E29', 'E42', 'E36', 'E37', 'E26', 'E25', 'E1', 'E17', 'E10', 'E16', 'E6', 'E18', 'E19', 'E2', 'E25', 'E25', 'E3', 'E25', 'E23', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E43', 'E25', 'E22', 'E25', 'E20', 'E7', 'E25', 'E25', 'E34', 'E35', 'E25', 'E27', 'E25', 'E25', 'E25', 'E25', 'E31', 'E26', 'E21', 'E9', 'E15', 'E7', 'E21', 'E12', 'E7', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E34', 'E35', 'E27', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E25', 'E24', 'E11', 'E25', 'E8', 'E25', 'E4', 'E5', 'E14', 'E25', 'E13']",Success
