EventId,EventTemplate,Occurrences
d49b2095,"<*> <*> <*> HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",9416
72f56ddb,[instance: <*>] <*> <*>,589
c583951f,[instance: <*>] VM <*> (Lifecycle Event),985
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",4
fe9c1237,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,387
e9970c47,image <*> at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,766
f7926c11,"image <*> at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node <*> local, <*> on other nodes sharing this instance storage",766
758c7b56,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,766
3b70c34a,Creating event network-vif-plugged:<*> for instance <*>,196
899b89e9,[instance: <*>] Instance <*> successfully.,393
055a3b29,[instance: <*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,393
9b22184f,[instance: <*>] Took <*>.<*> seconds to build instance.,197
fb3c7a48,[instance: <*>] Deleting instance files /var/lib/nova/instances/<*>_del,196
3f256a7a,[instance: <*>] Deletion of /var/lib/nova/instances/<*>_del complete,196
2ae03bfe,[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.,196
66acd71e,HTTP exception thrown: No instances found for any event,196
c6898c4d,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,270
8e372359,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,270
427acefb,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,196
649b9389,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",196
fefa9c58,"[instance: <*>] <*> <*> <*> MB, <*> <*>.<*> MB",392
fda3d281,[instance: <*>] Total <*> <*> <*> used: <*>.<*> <*>,392
3f98d481,"[instance: <*>] <*> limit not specified, defaulting to unlimited",392
d019cee3,Auditing locally available compute resources for node cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,135
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",135
52617e8c,Final resource view: name=cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],135
335ef092,Compute_service record updated for cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,135
2c00d500,Successfully synced instances from host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us'.,38
fd9aba29,The instance sync for host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,29
d24a2528,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,74
63e82264,"couldn't obtain the vcpu count from domain id: <*>, exception: Requested operation is not valid: cpu affinity is not supported",1
f95e7506,Running instance usage audit for host cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.,2
