seed,class_a,class_b,num_states,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
69007,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009483098983764648,1.0,1.0,1.0,2,success,
39161,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009335041046142578,1.0,1.0,1.0,2,success,
9178,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009337902069091797,1.0,1.0,1.0,2,success,
98846,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009461164474487305,1.0,1.0,1.0,2,success,
8938,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.03244280815124512,1.0,1.0,1.0,2,success,
36624,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009953022003173828,1.0,1.0,1.0,2,success,
69007,0,1,2,,lower_only,0.1,,0.10317460317460317,0.02878284454345703,1.0,1.0,1.0,2,success,
65447,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009423971176147461,1.0,1.0,1.0,2,success,
9178,0,1,2,,lower_only,0.1,,0.10317460317460317,0.010692119598388672,1.0,1.0,1.0,2,success,
98846,0,1,2,,lower_only,0.1,,0.10317460317460317,0.010441064834594727,1.0,1.0,1.0,2,success,
89149,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.012286901473999023,1.0,1.0,1.0,2,success,
39161,0,1,2,,lower_only,0.1,,0.10317460317460317,0.015381813049316406,1.0,1.0,1.0,2,success,
69007,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010242938995361328,1.0,1.0,1.0,2,success,
8938,0,1,2,,lower_only,0.1,,0.10317460317460317,0.03163290023803711,1.0,1.0,1.0,2,success,
9178,0,1,2,,upper_only,,0.11,0.10317460317460317,0.011503934860229492,1.0,1.0,1.0,2,success,
36624,0,1,2,,lower_only,0.1,,0.10317460317460317,0.010397911071777344,1.0,1.0,1.0,2,success,
39161,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010852813720703125,1.0,1.0,1.0,2,success,
98846,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010986089706420898,1.0,1.0,1.0,2,success,
65447,0,1,2,,lower_only,0.1,,0.10317460317460317,0.010744094848632812,1.0,1.0,1.0,2,success,
69007,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.012001991271972656,1.0,1.0,1.0,3,success,
