seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
39871,0,1,5,,distance,levenshtein,0.04545712471008301,1.0,1.0,1.0,5,success,
55151,0,1,3,,distance,levenshtein,0.019665002822875977,1.0,1.0,1.0,3,success,
11517,0,1,3,,distance,levenshtein,0.019514083862304688,1.0,1.0,1.0,3,success,
45,0,1,2,,distance,levenshtein,0.012489080429077148,1.0,1.0,1.0,2,success,
32584,0,1,3,,distance,levenshtein,0.027235031127929688,0.875,1.0,0.9333333333333333,3,success,
51338,0,1,3,,distance,levenshtein,0.04564404487609863,0.875,1.0,0.9333333333333333,3,success,
33653,0,1,2,,distance,levenshtein,0.012099981307983398,0.7777777777777778,1.0,0.875,2,success,
15852,0,1,3,,distance,levenshtein,0.02640390396118164,0.875,1.0,0.9333333333333333,3,success,
31055,0,1,2,,distance,levenshtein,0.021352052688598633,0.7777777777777778,1.0,0.875,2,success,
88322,0,1,3,,distance,levenshtein,0.01979804039001465,0.875,1.0,0.9333333333333333,3,success,
9471,0,1,5,,distance,levenshtein,0.0458531379699707,1.0,1.0,1.0,5,success,
58656,0,1,2,,distance,levenshtein,0.028840065002441406,0.7777777777777778,1.0,0.875,2,success,
63198,0,1,3,,distance,levenshtein,0.05659890174865723,0.7777777777777778,1.0,0.875,3,success,
12153,0,1,5,,distance,levenshtein,0.044938087463378906,0.875,1.0,0.9333333333333333,5,success,
6886,0,1,4,,distance,levenshtein,0.0656881332397461,1.0,1.0,1.0,4,success,
93884,0,1,4,,distance,levenshtein,0.04007601737976074,0.7777777777777778,1.0,0.875,4,success,
84787,0,1,4,,distance,levenshtein,0.04184699058532715,0.7777777777777778,1.0,0.875,4,success,
55151,0,1,4,,distance,levenshtein,0.0277860164642334,1.0,1.0,1.0,4,success,
37843,0,1,4,,distance,levenshtein,0.04698014259338379,0.875,1.0,0.9333333333333333,4,success,
26253,0,1,2,,distance,levenshtein,0.013120889663696289,0.875,1.0,0.9333333333333333,2,success,
68503,0,1,2,,distance,levenshtein,0.013607025146484375,0.875,1.0,0.9333333333333333,2,success,
8988,0,1,4,,distance,levenshtein,0.10915899276733398,0.875,1.0,0.9333333333333333,4,success,
33653,0,1,3,,distance,levenshtein,0.02351999282836914,0.7777777777777778,1.0,0.875,3,success,
11517,0,1,4,,distance,levenshtein,0.030723094940185547,1.0,1.0,1.0,4,success,
