goal,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
0,0.0,both_bounds,0.09,0.1,0.096,0.006662845611572266,1.0,0.6666666666666666,0.8,2,success,
0,0.0,lower_only,0.09,,0.096,0.011757850646972656,1.0,0.8333333333333334,0.9090909090909091,2,success,
0,0.0,upper_only,,0.1,0.096,0.06742501258850098,1.0,0.8333333333333334,0.9090909090909091,2,success,
0,0.01,both_bounds,0.08,0.11,0.096,0.005876064300537109,1.0,0.5,0.6666666666666666,2,success,
0,0.01,lower_only,0.08,,0.096,0.007609128952026367,1.0,0.8333333333333334,0.9090909090909091,2,success,
0,0.01,upper_only,,0.11,0.096,0.038902997970581055,1.0,0.8333333333333334,0.9090909090909091,2,success,
0,0.02,both_bounds,0.06999999999999999,0.12000000000000001,0.096,0.0063250064849853516,1.0,0.5,0.6666666666666666,2,success,
0,0.02,lower_only,0.06999999999999999,,0.096,0.024565935134887695,1.0,0.8333333333333334,0.9090909090909091,2,success,
0,0.02,upper_only,,0.12000000000000001,0.096,0.00780487060546875,1.0,1.0,1.0,2,success,
0,0.03,both_bounds,0.06,0.13,0.096,0.00603485107421875,1.0,1.0,1.0,2,success,
0,0.03,lower_only,0.06,,0.096,0.0178220272064209,1.0,0.3333333333333333,0.5,2,success,
0,0.03,upper_only,,0.13,0.096,0.008845090866088867,1.0,1.0,1.0,2,success,
0,0.04,both_bounds,0.049999999999999996,0.14,0.096,0.007327079772949219,1.0,0.16666666666666666,0.2857142857142857,2,success,
0,0.04,lower_only,0.049999999999999996,,0.096,0.024676084518432617,1.0,0.3333333333333333,0.5,2,success,
0,0.04,upper_only,,0.14,0.096,0.010715007781982422,1.0,1.0,1.0,2,success,
0,0.05,both_bounds,0.039999999999999994,0.15000000000000002,0.096,0.008170127868652344,1.0,0.16666666666666666,0.2857142857142857,2,success,
0,0.05,lower_only,0.039999999999999994,,0.096,0.04247403144836426,1.0,0.3333333333333333,0.5,2,success,
0,0.05,upper_only,,0.15000000000000002,0.096,0.01123499870300293,1.0,1.0,1.0,2,success,
1,0.0,both_bounds,0.1,0.11,0.10227272727272728,0.012327909469604492,1.0,0.6666666666666666,0.8,2,success,
1,0.0,lower_only,0.1,,0.10227272727272728,0.024512052536010742,1.0,0.5,0.6666666666666666,2,success,
1,0.0,upper_only,,0.11,0.10227272727272728,0.10800290107727051,1.0,1.0,1.0,2,success,
