seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
114,25,both_bounds,0.0,0.166,0.167,0.16626820132745881,412.7540669441223,0.15233516483516482,0.1500879686019759,0.15120321766991615,2,success,
114,25,lower_only,0.0,0.166,,0.16626820132745881,351.9635179042816,0.1419165032221911,0.13709568277168765,0.13946444551524748,2,success,
114,25,upper_only,0.0,,0.167,0.16626820132745881,779.5493440628052,0.034864643150123054,0.03451075923670321,0.034686798612528054,2,success,
28998,25,both_bounds,0.0,0.166,0.167,0.16622835479353804,739.3426558971405,0.12837649679754942,0.12466197944835046,0.12649197420771024,2,success,
28998,25,lower_only,0.0,0.166,,0.16622835479353804,459.65433406829834,0.16839629168396292,0.1645484045429962,0.16645011283594338,2,success,
28998,25,upper_only,0.0,,0.167,0.16622835479353804,544.8937199115753,0.03927872518870562,0.03799351000540833,0.038625429553264604,2,success,
7239,25,both_bounds,0.0,0.166,0.167,0.16622835479353804,421.06310987472534,0.12607296137339055,0.12709572742022715,0.12658227848101267,2,success,
7239,25,lower_only,0.0,0.166,,0.16622835479353804,313.4876899719238,0.2810422038268422,0.28001622498647916,0.2805282763291568,2,success,
7239,25,upper_only,0.0,,0.167,0.16622835479353804,1058.995395898819,0.1885940146809712,0.18063818280151434,0.18453038674033148,2,success,
11517,25,both_bounds,0.0,0.166,0.167,0.16666666666666666,957.9423179626465,0.2054133726383492,0.2094548435578631,0.20741442294682721,2,success,
11517,25,lower_only,0.0,0.166,,0.16666666666666666,396.6007549762726,0.051519499152210775,0.05396912146468097,0.05271586814360069,2,success,
11517,25,upper_only,0.0,,0.167,0.16666666666666666,564.9339759349823,0.022216238050356805,0.022544063396638885,0.022378950223789502,2,success,
79820,25,both_bounds,0.0,0.166,0.167,0.1665812812368364,466.056401014328,0.07209240573552841,0.07403872375238614,0.07305260325575137,2,success,
79820,25,lower_only,0.0,0.166,,0.1665812812368364,580.362920999527,0.10861370933966215,0.10608126533951459,0.10733255156239221,2,success,
79820,25,upper_only,0.0,,0.167,0.1665812812368364,519.5934498310089,0.02132435465768799,0.02072538860103627,0.02102060572534919,2,success,
9471,25,both_bounds,0.0,0.165,0.166,0.16594373669410384,434.37928104400635,0.14022956714147422,0.1361804995970991,0.13817537643932684,2,success,
9471,25,lower_only,0.0,0.165,,0.16594373669410384,358.215646982193,0.19284080204548512,0.19245232339511148,0.19264636687504202,2,success,
9471,25,upper_only,0.0,,0.166,0.16594373669410384,1051.6918330192566,0.06702523789822093,0.0652699435938759,0.06613594611145132,2,success,
36624,25,both_bounds,0.0,0.166,0.167,0.166894361146214,677.757924079895,0.04832613390928726,0.049182580024728674,0.04875059576496221,2,success,
36624,25,lower_only,0.0,0.166,,0.166894361146214,399.2806439399719,0.6398012696660227,0.6369006731693914,0.6383476764199656,2,success,
36624,25,upper_only,0.0,,0.167,0.166894361146214,524.5305178165436,0.05173347778981582,0.05247973622750378,0.05210393507467776,2,success,
39871,25,both_bounds,0.0,0.166,0.167,0.16666666666666666,585.4211168289185,0.03590443686006826,0.03593387074736986,0.03591914777383229,2,success,
39871,25,lower_only,0.0,0.166,,0.16666666666666666,556.2359571456909,0.13613793103448277,0.13485448831807623,0.13549317043036585,2,success,
39871,25,upper_only,0.0,,0.167,0.16666666666666666,614.5024151802063,0.16425054704595185,0.1640934553900806,0.164171963638849,2,success,
56085,25,both_bounds,0.0,0.167,0.168,0.16706513200587453,431.6837019920349,0.09104238869634763,0.09421989239895158,0.09260389126160938,2,success,
56085,25,lower_only,0.0,0.167,,0.16706513200587453,437.5727770328522,0.14226917272602552,0.14305421437439647,0.14266061356445178,2,success,
56085,25,upper_only,0.0,,0.168,0.16706513200587453,787.8281490802765,0.18432432432432433,0.18816388467374812,0.1862243156529456,2,success,
89095,25,both_bounds,0.0,0.166,0.167,0.16650158816899485,1218.6464841365814,0.1582509814539055,0.1590909090909091,0.15866983372921614,2,success,
89095,25,lower_only,0.0,0.166,,0.16650158816899485,743.5816168785095,0.17374770521898766,0.18032117583015786,0.1769734205956992,2,success,
89095,25,upper_only,0.0,,0.167,0.16650158816899485,698.4273600578308,0.11603721948549535,0.11540555253130104,0.11572052401746726,2,success,
