seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
114,25,both_bounds,0.0,0.022,0.023,0.022795280437108795,45.04046893119812,0.8992020159596809,0.8760229132569558,0.8874611398963731,2,success,
114,25,lower_only,0.0,0.022,,0.022795280437108795,103.7755479812622,0.3805601317957166,0.3780687397708674,0.3793103448275862,2,success,
114,25,upper_only,0.0,,0.023,0.022795280437108795,140.99432396888733,0.12593828190158465,0.12356792144026187,0.12474184221396117,2,success,
114,25,both_bounds,0.001,0.020999999999999998,0.024,0.022795280437108795,101.17818307876587,0.7765068191816982,0.722176759410802,0.7483570065719737,2,success,
114,25,lower_only,0.001,0.020999999999999998,,0.022795280437108795,109.34533500671387,0.0048436811977102595,0.004500818330605565,0.0046659597030752915,2,success,
114,25,upper_only,0.001,,0.024,0.022795280437108795,135.98495292663574,0.13619781110660723,0.13747954173486088,0.13683567501527183,2,success,
114,25,both_bounds,0.002,0.019999999999999997,0.025,0.022795280437108795,43.6619930267334,0.9492204899777282,0.8719312602291326,0.90893580720836,2,success,
114,25,lower_only,0.002,0.019999999999999997,,0.022795280437108795,87.8510901927948,0.31064412973960714,0.27823240589198034,0.29354629829484136,2,success,
114,25,upper_only,0.002,,0.025,0.022795280437108795,150.27220511436462,0.17993630573248406,0.18494271685761046,0.1824051654560129,2,success,
114,25,both_bounds,0.003,0.019,0.026,0.022795280437108795,44.350143909454346,0.9492204899777282,0.8719312602291326,0.90893580720836,2,success,
114,25,lower_only,0.003,0.019,,0.022795280437108795,161.77475118637085,0.25691699604743085,0.2127659574468085,0.23276633840644584,2,success,
114,25,upper_only,0.003,,0.026,0.022795280437108795,1026.7805259227753,0.4814957594448728,0.5110474631751227,0.49583167923779276,2,success,
114,25,both_bounds,0.004,0.018,0.027,0.022795280437108795,43.638458013534546,0.9492204899777282,0.8719312602291326,0.90893580720836,2,success,
114,25,lower_only,0.004,0.018,,0.022795280437108795,452.1418378353119,0.009514271407110666,0.007774140752864157,0.008556631389326727,2,success,
114,25,upper_only,0.004,,0.027,0.022795280437108795,210.8589370250702,0.22481481481481483,0.2483633387888707,0.23600311041990668,2,success,
114,25,both_bounds,0.005,0.016999999999999998,0.028,0.022795280437108795,44.12293481826782,0.8756668034468609,0.8731587561374795,0.8744109813562795,2,success,
114,25,lower_only,0.005,0.016999999999999998,,0.022795280437108795,118.65613794326782,0.41077257889009794,0.3089198036006547,0.35263895375992527,2,success,
114,25,upper_only,0.005,,0.028,0.022795280437108795,133.0951828956604,0.2391681109185442,0.2823240589198036,0.25896040532933007,2,success,
28998,25,both_bounds,0.0,0.022,0.023,0.022934954499398693,90.77087903022766,0.468613775065388,0.45073375262054505,0.45949989313955975,2,success,
28998,25,lower_only,0.0,0.022,,0.022934954499398693,2416.0584750175476,0.38361190379127597,0.39454926624737946,0.38900372054568005,2,success,
28998,25,upper_only,0.0,,0.023,0.022934954499398693,451.83337211608887,0.13661858974358973,0.1429769392033543,0.13972546609301373,2,success,
28998,25,both_bounds,0.001,0.020999999999999998,0.024,0.022934954499398693,44.18704700469971,0.3848337388483374,0.3979035639412998,0.39125953411667697,2,success,
28998,25,lower_only,0.001,0.020999999999999998,,0.022934954499398693,288.0642399787903,0.4457885304659498,0.4171907756813417,0.4310158111327702,2,success,
28998,25,upper_only,0.001,,0.024,0.022934954499398693,604.6899020671844,0.4083536090835361,0.4222222222222222,0.41517212945784376,2,success,
28998,25,both_bounds,0.002,0.019999999999999997,0.025,0.022934954499398693,168.3493390083313,0.11570247933884298,0.12914046121593292,0.12205270457697642,2,success,
28998,25,lower_only,0.002,0.019999999999999997,,0.022934954499398693,233.62681198120117,0.28941176470588237,0.2578616352201258,0.2727272727272727,2,success,
28998,25,upper_only,0.002,,0.025,0.022934954499398693,666.2759101390839,0.5474903474903475,0.5945492662473795,0.5700502512562814,2,success,
28998,25,both_bounds,0.003,0.019,0.026,0.022934954499398693,84.7418360710144,0.17753623188405798,0.20545073375262055,0.19047619047619047,2,success,
28998,25,lower_only,0.003,0.019,,0.022934954499398693,562.749862909317,0.4631474103585657,0.389937106918239,0.42340086501251994,2,success,
28998,25,upper_only,0.003,,0.026,0.022934954499398693,311.87413001060486,0.4879725085910653,0.5358490566037736,0.5107913669064749,2,success,
28998,25,both_bounds,0.004,0.018,0.027,0.022934954499398693,69.93400979042053,0.36204228984012377,0.2943396226415094,0.32469935245143383,2,success,
28998,25,lower_only,0.004,0.018,,0.022934954499398693,418.6110188961029,0.35294117647058826,0.28176100628930817,0.3133597575192352,2,success,
28998,25,upper_only,0.004,,0.027,0.022934954499398693,380.0664668083191,0.4651332603139832,0.5341719077568134,0.4972677595628415,2,success,
28998,25,both_bounds,0.005,0.016999999999999998,0.028,0.022934954499398693,104.50851202011108,0.1191588785046729,0.12830188679245283,0.12356147789218655,2,success,
28998,25,lower_only,0.005,0.016999999999999998,,0.022934954499398693,259.72648787498474,0.16549486208761494,0.12830188679245283,0.14454416627302788,2,success,
28998,25,upper_only,0.005,,0.028,0.022934954499398693,235.03867888450623,0.274496644295302,0.3429769392033543,0.3049394221808015,2,success,
7239,25,both_bounds,0.0,0.022,0.023,0.022762137439277293,113.43915915489197,0.011240632805995004,0.010984540276647681,0.011111111111111112,2,success,
7239,25,lower_only,0.0,0.022,,0.022762137439277293,699.7445151805878,0.13914807302231239,0.13954434499593166,0.13934592728011375,2,success,
